DATE,GAS
22-04-1996,1.243
29-04-1996,1.257
06-05-1996,1.259
13-05-1996,1.262
20-05-1996,1.269
27-05-1996,1.260
03-06-1996,1.252
10-06-1996,1.247
17-06-1996,1.241
24-06-1996,1.230
01-07-1996,1.219
08-07-1996,1.217
15-07-1996,1.215
22-07-1996,1.215
29-07-1996,1.209
05-08-1996,1.199
12-08-1996,1.196
19-08-1996,1.199
26-08-1996,1.201
02-09-1996,1.193
09-09-1996,1.201
16-09-1996,1.203
23-09-1996,1.203
30-09-1996,1.199
07-10-1996,1.191
14-10-1996,1.203
21-10-1996,1.205
28-10-1996,1.217
04-11-1996,1.225
11-11-1996,1.229
18-11-1996,1.238
25-11-1996,1.246
02-12-1996,1.242
09-12-1996,1.241
16-12-1996,1.233
23-12-1996,1.227
30-12-1996,1.224
06-01-1997,1.220
13-01-1997,1.235
20-01-1997,1.236
27-01-1997,1.232
03-02-1997,1.230
10-02-1997,1.227
17-02-1997,1.220
24-02-1997,1.217
03-03-1997,1.208
10-03-1997,1.199
17-03-1997,1.191
24-03-1997,1.196
31-03-1997,1.191
07-04-1997,1.192
14-04-1997,1.187
21-04-1997,1.188
28-04-1997,1.185
05-05-1997,1.182
12-05-1997,1.182
19-05-1997,1.195
26-05-1997,1.204
02-06-1997,1.206
09-06-1997,1.198
16-06-1997,1.189
23-06-1997,1.179
30-06-1997,1.171
07-07-1997,1.169
14-07-1997,1.165
21-07-1997,1.170
28-07-1997,1.164
04-08-1997,1.185
11-08-1997,1.219
18-08-1997,1.218
25-08-1997,1.230
01-09-1997,1.229
08-09-1997,1.227
15-09-1997,1.219
22-09-1997,1.208
29-09-1997,1.195
06-10-1997,1.195
13-10-1997,1.187
20-10-1997,1.178
27-10-1997,1.168
03-11-1997,1.163
10-11-1997,1.164
17-11-1997,1.156
24-11-1997,1.150
01-12-1997,1.140
08-12-1997,1.128
15-12-1997,1.118
22-12-1997,1.108
29-12-1997,1.099
05-01-1998,1.089
12-01-1998,1.083
19-01-1998,1.072
26-01-1998,1.055
02-02-1998,1.051
09-02-1998,1.045
16-02-1998,1.032
23-02-1998,1.038
02-03-1998,1.025
09-03-1998,1.017
16-03-1998,1.006
23-03-1998,0.998
30-03-1998,1.026
06-04-1998,1.023
13-04-1998,1.018
20-04-1998,1.021
27-04-1998,1.032
04-05-1998,1.038
11-05-1998,1.052
18-05-1998,1.055
25-05-1998,1.052
01-06-1998,1.047
08-06-1998,1.060
15-06-1998,1.049
22-06-1998,1.041
29-06-1998,1.042
06-07-1998,1.041
13-07-1998,1.037
20-07-1998,1.044
27-07-1998,1.035
03-08-1998,1.023
10-08-1998,1.018
17-08-1998,1.011
24-08-1998,1.004
31-08-1998,0.998
07-09-1998,0.991
14-09-1998,0.987
21-09-1998,0.999
28-09-1998,0.999
05-10-1998,1.006
12-10-1998,1.010
19-10-1998,1.007
